SS_GROUP,Village,Surface,Agro_1,Agro_12,Agro_13,Agro_14,Agro_15,Agro_16,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9
1,3579,4.02469,,,,,,,1.0,,,,,,,
1,3580,7.63108,,,,,,,1.0,,,,,,,
1,3581,13.6456,,,,,,,1.0,,,,,,,
1,3582,6.39101,,,,,,,1.0,,,,,,,
1,3583,8.12135,,,,,,,1.0,,,,,,,
1,3584,4.86187,,,,8.273622754023635E-4,,,0.9991726377245976,,,,,,,
1,3585,12.1673,,,,,,,1.0,,,,,,,
1,3586,17.0124,,,,0.620224573795859,,,0.37977542620414095,,,,,,,
1,3587,4.55723,,,,,,,1.0,,,,,,,
1,3588,5.41803,,,,,,,1.0,,,,,,,
1,3589,9.42155,,,,,,,1.0,,,,,,,
1,3590,10.4793,,,,,,,1.0,,,,,,,
1,3591,3.76909,,,,,,,1.0,,,,,,,
1,3592,4.22034,,,,,,,1.0,,,,,,,
1,3593,1.87906,,,,,,,1.0,,,,,,,
1,3594,31.0712,,,,,,,,,,1.0,,,,
1,3595,21.5885,,,0.0023441055585525596,,,,,,,0.9976558944414475,,,,
1,3596,5.12763,,,,,,,,,,1.0,,,,
1,3597,1.20237,,,,,,,,,,1.0,,,,
1,3598,19.1872,,,0.001012001707752882,,,,,,,0.9989879982922472,,,,
1,3599,4.27193,,,0.1606308722448182,,,,,,,0.8393691277551818,,,,
1,3600,27.1691,,,,,,,,,,1.0,,,,
1,3601,3.97849,,,0.7393978695606566,,,,,,,0.26060213043934344,,,,
1,3602,12.2392,,,0.14313746764418678,,,,,,,0.8568625323558132,,,,
1,3603,36.0137,,,,,,,,,,1.0,,,,
1,3604,5.26839,,,,,,,,,,1.0,,,,
1,3605,3.77964,,,0.010371173559029346,,,,,,,0.9896288264409706,,,,
1,3606,4.28123,,,,,,,,,,1.0,,,,
1,3607,4.89447,,,0.05449735039220399,,,,,,,0.945502649607796,,,,
1,3608,29.2458,,,,,,,,,,1.0,,,,
1,3609,12.6168,,,,,,,,,,1.0,,,,
1,3610,17.5427,,,0.08597463142917684,,,,,,,0.9140253685708231,,,,
1,3611,63.6492,,,,,,,,,,1.0,,,,
1,3612,6.4901,,,1.0,,,,,,,,,,,
1,3613,3.82352,,,1.0,,,,,,,,,,,
1,3614,5.22088,,,1.0,,,,,,,,,,,
1,3615,5.52506,,,1.0,,,,,,,,,,,
1,3616,7.82401,,,1.0,,,,,,,,,,,
1,3617,5.26056,,,1.0,,,,,,,,,,,
1,3618,6.18412,,,0.9872308324491411,,,,,,,0.012769167550858941,,,,
1,3619,7.31381,,,1.0,,,,,,,,,,,
1,3620,5.46686,,,0.5974519817919396,,,,,,,0.40254801820806035,,,,
1,3621,6.44856,,,0.8488796861121078,,,,,,,0.15112031388789213,,,,
1,3622,5.04278,,,0.17820307386761156,,,,,,,0.8217969261323885,,,,
1,3623,4.90789,,,0.6709572181764771,,,,,,,0.32904278182352287,,,,
1,3624,3.16308,,,1.0,,,,,,,,,,,
1,3625,1.79562,,,1.0,,,,,,,,,,,
1,3626,2.18693,,,1.0,,,,,,,,,,,
1,3627,2.33995,,,1.0,,,,,,,,,,,
1,3628,2.4821,,,1.0,,,,,,,,,,,
1,3629,4.52506,,,1.0,,,,,,,,,,,
1,3630,3.67345,,,0.43743998017409613,,,,,,,0.5625600198259038,,,,
1,3631,3.5861,,,1.0,,,,,,,,,,,
1,3632,3.35003,,,1.0,,,,,,,,,,,
1,3633,11.4432,,,,,,,,,,1.0,,,,
1,3634,8.82024,,,0.03695229575599098,,,,,,,0.963047704244009,,,,
1,3635,5.11493,,,,,,,,,,1.0,,,,
1,3636,10.8867,,,0.3212504574206701,,,,,,,0.67874954257933,,,,
1,3637,21.5275,,,0.22498378660350496,,,,,,,0.7750162133964951,,,,
1,3638,64.5235,,,,,,,,,,1.0,,,,
1,3639,7.48601,,,,,,,,,,1.0,,,,
